item	itemLabel	pub	id	mndate	mxdate
http://www.wikidata.org/entity/Q21245083	Divergent lineage of a novel hantavirus in the banana pipistrelle (Neoromicia nanus) in Côte d'Ivoire	2012-01-01T00:00:00Z	Q55112278	2006	2018
http://www.wikidata.org/entity/Q28938302	Baezia vulcania sp. n., an endogeous weevil from La Palma I. (Canary Is.) (Coleoptera: Curculionidae: Molytinae)	2002-05-10T00:00:00Z	Q55181295	2002	2002
http://www.wikidata.org/entity/Q27336283	With a Little Help from My Friends: Group Orientation by Larvae of a Coral Reef Fish	2015-12-01T00:00:00Z	Q55234096	2005	2019
http://www.wikidata.org/entity/Q56165991	Trechona rufa (Araneae, Dipluridae): new status, redescription and neotype designation with notes on the genus	2008-08-01T00:00:00Z	Q55436463	2008	2008
http://www.wikidata.org/entity/Q28938591	Nomenclatural comments on the Rusty-spotted Genet (Carnivora, Viverridae) and designation of a neotype	2003-03-17T00:00:00Z	Q55487837	2003	2017
http://www.wikidata.org/entity/Q29461630	Nematodes from galls on Myrtaceae. X. Fergusobia from galls on narrow-leaved Melaleuca spp. in Australia, with descriptions of three new species	2014-12-01T00:00:00Z	Q55516883	2014	2014
http://www.wikidata.org/entity/Q56480690	Wide distributional range of marine sponges along the Pacific Ocean	2013-10-01T00:00:00Z	Q55550635	2013	2013
http://www.wikidata.org/entity/Q29464748	Megadrymus brigalow n.sp. (Insecta: Hemiptera: Heteroptera: Rhyparochromidae: Drymini), a diminutive new species of seed bug from semi-evergreen vine thicket of the Queensland Brigalow Belt	2014-03-14T00:00:00Z	Q55747689	2012	2017
http://www.wikidata.org/entity/Q21128765	Brood care in a 100-million-year-old scale insect	2015-01-01T00:00:00Z	Q55764185	2003	2018
http://www.wikidata.org/entity/Q58810501	New species of Paracolpenteron n. gen. and Ancyrocephalus (Monogenea, Dactylogyridae) inhabiting the urinary bladder and gills of the Maya needlefish Strongylura hubbsi (Beloniformes, Belonidae) from Chiapas, Mexico	2018-01-01T00:00:00Z	Q55798427	2018	2018
